,config_1_uncoordinated,config_1_opportunistic,config_1_flexible
investment_cost,5000.0,5000.0,5000.0
avg_p_peak,35.381853281999994,34.042287778857144,34.042287778857144
avg_papr,1.7921087288878648,1.7653365951211477,1.7627862268785086
avg_daily_peak_increase,1.0420632636139098,1.0,1.0
total_cost_per_user,36.168981378668065,29.95497759848468,29.92090728046478
avg_soc_t_dep_percent,98.74495902511455,75.22102901265325,72.19926646580214
lowest_soc_percent,75.02191182674467,29.832867984370292,21.801739728040747
highest_soc_percent,100.0,100.0,100.0
soc_range,24.97808817325533,70.1671320156297,78.19826027195926
num_cp,25.0,25.0,25.0
p_cp_rated,2.4,2.4,2.4
avg_num_charging_days,7.0,4.8,3.68
economic,0.5,0.5,0.5
technical,0.5,0.5,0.5
social,0.0,0.0,0.0
mip_gap,,5.641570219939511e-13,0.07382145936023668
